"SITE_ID","SITE_NAME","DATABASE_NAME","DOMAIN","PRIORITY"
"2191","internationalaffairs","znldhr2191","internationalaffairs.pdx.acsitefactory.com","5"
"2196","chemistry","znldhr2196","chemistry.pdx.acsitefactory.com","3"
"2211","film","znldhr2211","film.pdx.acsitefactory.com","3"
"2231","environmentalscience","znldhr2231","environmentalscience.pdx.acsitefactory.com","3"
"2266","artdesign","znldhr2266","artdesign.pdx.acsitefactory.com","3"
"2281","agilerobotics","znldhr2281","agilerobotics.pdx.acsitefactory.com","5"
"2296","asianstudies","znldhr2296","asianstudies.pdx.acsitefactory.com","3"
"2301","buildings","znldhr2301","buildings.pdx.acsitefactory.com","5"
"2306","business","znldhr2306","business.pdx.acsitefactory.com","2"
"2326","biology","znldhr2326","biology.pdx.acsitefactory.com","3"
"2331","advising","znldhr2331","advising.pdx.acsitefactory.com","1"
"2336","alumni","znldhr2336","alumni.pdx.acsitefactory.com","5"
"2361","appliedlinguistics","znldhr2361","appliedlinguistics.pdx.acsitefactory.com","3"
"2381","architecture","znldhr2381","architecture.pdx.acsitefactory.com","3"
"2396","academicaffairs","znldhr2396","academicaffairs.pdx.acsitefactory.com","1"
"2406","exito","znldhr2406","exito.pdx.acsitefactory.com","5"
"2416","geographyeducation","znldhr2416","geographyeducation.pdx.acsitefactory.com","3"
"2421","centerchildfamily","znldhr2421","centerchildfamily.pdx.acsitefactory.com","4"
"2426","japanesestudies","znldhr2426","japanesestudies.pdx.acsitefactory.com","3"
"2431","centerforpublicservice","znldhr2431","centerforpublicservice.pdx.acsitefactory.com","5"
"2456","urbanstudies","znldhr2456","urbanstudies.pdx.acsitefactory.com","3"
"2461","executiveeducation","znldhr2461","executiveeducation.pdx.acsitefactory.com","2"
"2466","education","znldhr2466","education.pdx.acsitefactory.com","2"
"2471","board","znldhr2471","board.pdx.acsitefactory.com","5"
"2476","anthropology","znldhr2476","anthropology.pdx.acsitefactory.com","3"
"2511","disabilityresourcecenter","znldhr2511","disabilityresourcecenter.pdx.acsitefactory.com","2"
"2596","internationalprograms","znldhr2596","internationalprograms.pdx.acsitefactory.com","5"
"2616","liberalartssciencesit","znldhr2616","liberalartssciencesit.pdx.acsitefactory.com","5"
"2661","policies","znldhr2661","policies.pdx.acsitefactory.com","4"
"2671","politicalscience","znldhr2671","politicalscience.pdx.acsitefactory.com","3"
"2686","queerresourcecenter","znldhr2686","queerresourcecenter.pdx.acsitefactory.com","3"
"2731","studentaffairs","znldhr2731","studentaffairs.pdx.acsitefactory.com","4"
"2741","studentleadership","znldhr2741","studentleadership.pdx.acsitefactory.com","5"
"2751","studentsustainabilitycenter","znldhr2751","studentsustainabilitycenter.pdx.acsitefactory.com","5"
"2781","transportationresearch","znldhr2781","transportationresearch.pdx.acsitefactory.com","5"
"2816","worldlanguages","znldhr2816","worldlanguages.pdx.acsitefactory.com","3"
"2826","youthmentoring","znldhr2826","youthmentoring.pdx.acsitefactory.com","5"
"2831","humanresources","znldhr2831","humanresources.pdx.acsitefactory.com","2"
"2901","arts","znldhr2901","arts.pdx.acsitefactory.com","2"
"2921","financeadministration","znldhr2921","financeadministration.pdx.acsitefactory.com","4"
"2931","healthsafety","znldhr2931","healthsafety.pdx.acsitefactory.com","3"
"2961","creativewriting","znldhr2961","creativewriting.pdx.acsitefactory.com","3"
"2981","helengordoncenter","znldhr2981","helengordoncenter.pdx.acsitefactory.com","4"
"2991","foodcarts","znldhr2991","foodcarts.pdx.acsitefactory.com","5"
"3006","speechhearingsciences","znldhr3006","speechhearingsciences.pdx.acsitefactory.com","3"
"3016","transportation","znldhr3016","transportation.pdx.acsitefactory.com","3"
"3021","facultysenate","znldhr3021","facultysenate.pdx.acsitefactory.com","5"
"3046","instituteonaging","znldhr3046","instituteonaging.pdx.acsitefactory.com","5"
"3051","digitalcity","znldhr3051","digitalcity.pdx.acsitefactory.com","5"
"3071","criminologycriminaljustice","znldhr3071","criminologycriminaljustice.pdx.acsitefactory.com","3"
"3081","internationalscholars","znldhr3081","internationalscholars.pdx.acsitefactory.com","5"
"3096","museumofart","znldhr3096","museumofart.pdx.acsitefactory.com","5"
"3101","risk","znldhr3101","risk.pdx.acsitefactory.com","5"
"3126","middleeaststudies","znldhr3126","middleeaststudies.pdx.acsitefactory.com","3"
"3146","researchexperience","znldhr3146","researchexperience.pdx.acsitefactory.com","5"
"3151","sciencetechnologyengineering","znldhr3151","sciencetechnologyengineering.pdx.acsitefactory.com","3"
"3156","multiculturalretentionservices","znldhr3156","multiculturalretentionservices.pdx.acsitefactory.com","4"
"3181","sustainability","znldhr3181","sustainability.pdx.acsitefactory.com","5"
"3191","transfercenter","znldhr3191","transfercenter.pdx.acsitefactory.com","4"
"3211","triostudentsupportservices","znldhr3211","triostudentsupportservices.pdx.acsitefactory.com","5"
"3236","womensresourcecenter","znldhr3236","womensresourcecenter.pdx.acsitefactory.com","4"
"3241","writingcenter","znldhr3241","writingcenter.pdx.acsitefactory.com","3"
"3251","realestate","znldhr3251","realestate.pdx.acsitefactory.com","5"
"3256","prehealth","znldhr3256","prehealth.pdx.acsitefactory.com","3"
"3261","populationresearch","znldhr3261","populationresearch.pdx.acsitefactory.com","5"
"3276","instititutenaturalresources","znldhr3276","instititutenaturalresources.pdx.acsitefactory.com","5"
"3306","metropolitanstudies","znldhr3306","metropolitanstudies.pdx.acsitefactory.com","5"
