id  site                            db_name     domain
----  ------------------------------  ----------  ----------------------------------------------------
3976  campusplanning                  znldhr3976  campusplanning.pdx.acsitefactory.com
3986  webtraining2                    znldhr3986  webtraining2.pdx.acsitefactory.com
3996  earlychildhoodeducationhub      znldhr3996  earlychildhoodeducationhub.pdx.acsitefactory.com
4001  budget                          znldhr4001  budget.pdx.acsitefactory.com
4006  studentsfirst                   znldhr4006  studentsfirst.pdx.acsitefactory.com
4011  turkishstudiescenter            znldhr4011  turkishstudiescenter.pdx.acsitefactory.com
4016  womensleadershipcenter          znldhr4016  womensleadershipcenter.pdx.acsitefactory.com
4021  criminaljusticepolicyresearch   znldhr4021  criminaljusticepolicyresearch.pdx.acsitefactory.com
4026  hatfieldschool                  znldhr4026  hatfieldschool.pdx.acsitefactory.com
4031  sexualassault                   znldhr4031  sexualassault.pdx.acsitefactory.com
4036  bikehub                         znldhr4036  bikehub.pdx.acsitefactory.com
4041  dreamers                        znldhr4041  dreamers.pdx.acsitefactory.com
4046  emergencymanagement             znldhr4046  emergencymanagement.pdx.acsitefactory.com
4051  internationalpartnerships       znldhr4051  internationalpartnerships.pdx.acsitefactory.com
4056  nonprofitinstitute              znldhr4056  nonprofitinstitute.pdx.acsitefactory.com
4062  nativeamericancenter            znldhr4062  nativeamericancenter.pdx.acsitefactory.com
4067  kahnprejudiceresearchlab        znldhr4067  kahnprejudiceresearchlab.pdx.acsitefactory.com
4071  firststopportland               znldhr4071  firststopportland.pdx.acsitefactory.com
4076  vietnamoregoninitiative         znldhr4076  vietnamoregoninitiative.pdx.acsitefactory.com
4081  studentgovernment               znldhr4081  studentgovernment.pdx.acsitefactory.com
4196  healthybuildings                znldhr4196  healthybuildings.pdx.acsitefactory.com
4211  nanointerfaces                  znldhr4211  nanointerfaces.pdx.acsitefactory.com
4216  retirementassociation           znldhr4216  retirementassociation.pdx.acsitefactory.com
4221  reserveofficerstrainingcorp     znldhr4221  reserveofficerstrainingcorp.pdx.acsitefactory.com
4226  herbarium                       znldhr4226  herbarium.pdx.acsitefactory.com
4231  nanodevelopmentlab              znldhr4231  nanodevelopmentlab.pdx.acsitefactory.com
4236  electronmicroscopy              znldhr4236  electronmicroscopy.pdx.acsitefactory.com
4241  architectureengineeriningconst  znldhr4241  architectureengineeriningconst.pdx.acsitefactory.com
4256  transportationlabt              znldhr4256  transportationlabt.pdx.acsitefactory.com
4261  transportationlab               znldhr4261  transportationlab.pdx.acsitefactory.com
4276  sustainablefoodsystems          znldhr4276  sustainablefoodsystems.pdx.acsitefactory.com
4281  materialsmanufacturingresearch  znldhr4281  materialsmanufacturingresearch.pdx.acsitefactory.com
4286  glaciers                        znldhr4286  glaciers.pdx.acsitefactory.com
4291  centerforlakesandreservoirs     znldhr4291  centerforlakesandreservoirs.pdx.acsitefactory.com
4296  globalengagement                znldhr4296  globalengagement.pdx.acsitefactory.com
