Acquia hostname (SiteFactory URL),Status,Priority Level,,
allianceminorityparticipation.pdx.acsitefactory.com,done,5,,
alumni.pdx.acsitefactory.com,done,5,,
board.pdx.acsitefactory.com,done,5,,
budget.pdx.acsitefactory.com,done,5,,
buildings.pdx.acsitefactory.com,done,5,,
campusplanning.pdx.acsitefactory.com,done,5,,
centerclimateaerosolresearch.pdx.acsitefactory.com,done,5,,
centerforlakesandreservoirs.pdx.acsitefactory.com,done,5,,
centerforpublicservice.pdx.acsitefactory.com,done,5,,
challengeprogram.pdx.acsitefactory.com,done,5,,
cleantechchallenge.pdx.acsitefactory.com,done,5,,
commencement.pdx.acsitefactory.com,done,5,,
conferencesevents.pdx.acsitefactory.com,done,5,,
conflictresolution.pdx.acsitefactory.com,done,5,,
confuciusinstitute.pdx.acsitefactory.com,done,5,,
coop.pdx.acsitefactory.com,done,5,,
criminaljusticepolicyresearch.pdx.acsitefactory.com,done,5,,
currently.pdx.acsitefactory.com,done,5,,
digitalcity.pdx.acsitefactory.com,done,5,,
diversity.pdx.acsitefactory.com,done,5,,
diversitymulticulturalstudents.pdx.acsitefactory.com,done,5,,
dreamers.pdx.acsitefactory.com,done,5,,
earlychildhoodeducationhub.pdx.acsitefactory.com,done,5,,
educationabroad.pdx.acsitefactory.com,done,5,,
educationcareerdevelopment.pdx.acsitefactory.com,done,5,,
electronmicroscopy.pdx.acsitefactory.com,done,5,,
entrepreneurship.pdx.acsitefactory.com,done,5,,
exito.pdx.acsitefactory.com,done,5,,
extremeenvironments.pdx.acsitefactory.com,done,5,,
facultyexperts.pdx.acsitefactory.com,Done,5,,
facultysenate.pdx.acsitefactory.com,Done,5,,
fellowships.pdx.acsitefactory.com,Done,5,,
fireprevention.pdx.acsitefactory.com,Done,5,,
firststopportland.pdx.acsitefactory.com,Done,5,,
foodcarts.pdx.acsitefactory.com,Done,5,,Error: Queue Size
geographictechnology.pdx.acsitefactory.com,Done,5,,Error: Queue Size
glaciers.pdx.acsitefactory.com,Done,5,,
globalengagement.pdx.acsitefactory.com,Done,5,,
healthybuildings.pdx.acsitefactory.com,Done,5,,
herbarium.pdx.acsitefactory.com,Done,5,,
heroines.pdx.acsitefactory.com,Done,5,,
homelessness.pdx.acsitefactory.com,Done,5,,
indigenousnationsstudies.pdx.acsitefactory.com,Done,5,,
instititutenaturalresources.pdx.acsitefactory.com,Done,5,,
instituteonaging.pdx.acsitefactory.com,Done,5,,
institutionalassessmentcouncil.pdx.acsitefactory.com,Done,5,,
internalaudit.pdx.acsitefactory.com,Done,5,,
internationalaffairs.pdx.acsitefactory.com,Done,5,,
internationalpartnerships.pdx.acsitefactory.com,Done,5,,
internationalprograms.pdx.acsitefactory.com,Done,5,,
internationalscholars.pdx.acsitefactory.com,Done,5,,
internationalstudents.pdx.acsitefactory.com,Done,5,,
iroquoisdemocracy.pdx.acsitefactory.com,Done,5,,
jiaolab.pdx.acsitefactory.com,Done,5,,
kahnprejudiceresearchlab.pdx.acsitefactory.com,Done,5,,
landscapeassessmentmapping.pdx.acsitefactory.com,Done,5,,
liberalartssciencesit.pdx.acsitefactory.com,Done,5,,
materialsmanagement.pdx.acsitefactory.com,Done,5,,
materialsmanufacturingresearch.pdx.acsitefactory.com,Done,5,,
mentoringresearch.pdx.acsitefactory.com,Done,5,,
metropolitanstudies.pdx.acsitefactory.com,Done,5,,
microbialecology.pdx.acsitefactory.com,Done,5,,
mohrdyadiclab.pdx.acsitefactory.com,Done,5,,
museumofart.pdx.acsitefactory.com,Done,5,,
museumofnaturalhistory.pdx.acsitefactory.com,Done,5,,Error: Queue Size
nanodevelopmentlab.pdx.acsitefactory.com,Done,5,,
nanointerfaces.pdx.acsitefactory.com,Done,5,,
nativeamericancenter.pdx.acsitefactory.com,done,5,,
neurolinguistics.pdx.acsitefactory.com,done,5,,
nonprofitinstitute.pdx.acsitefactory.com,done,5,,
partnerships.pdx.acsitefactory.com,done,5,,
planningcontructionrealestate.pdx.acsitefactory.com,done,5,,
podrabskylab.pdx.acsitefactory.com,done,5,,
policyconsensuscenter.pdx.acsitefactory.com,done,5,,
populationresearch.pdx.acsitefactory.com,done,5,,
portlandcenter.pdx.acsitefactory.com,done,5,,
psumagazine.pdx.acsitefactory.com,done,5,,
racialinterventionstoryexch.pdx.acsitefactory.com,done,5,,
realestate.pdx.acsitefactory.com,done,5,,
regionalresearchinstitute.pdx.acsitefactory.com,done,5,,
researchbaseddesign.pdx.acsitefactory.com,done,5,,
researchexperience.pdx.acsitefactory.com,done,5,,
researchplanning.pdx.acsitefactory.com,done,5,,
retirementassociation.pdx.acsitefactory.com,done,5,,
risk.pdx.acsitefactory.com,done,5,,
seedbank.pdx.acsitefactory.com,done,5,,
senioradultlearningcenter.pdx.acsitefactory.com,done,5,,
socialdeterminantshealth.pdx.acsitefactory.com,done,5,,
studentaccesscenter.pdx.acsitefactory.com,done,5,,
studentcommunityengagement.pdx.acsitefactory.com,done ,5,,
studentgovernment.pdx.acsitefactory.com,done,5,,
studentleadership.pdx.acsitefactory.com,done,5,,
studentlife.pdx.acsitefactory.com,done,5,,
studentmedia.pdx.acsitefactory.com,done,5,,
studentsfirst.pdx.acsitefactory.com,done,5,,
studentsuccess.pdx.acsitefactory.com,done,5,,
studentsustainabilitycenter.pdx.acsitefactory.com,done,5,,
surplus.pdx.acsitefactory.com,done,5,,
sustainability.pdx.acsitefactory.com,done,5,,
sustainablefoodsystems.pdx.acsitefactory.com,done,5,,
syndication.pdx.acsitefactory.com,done,5,,
transportationlab.pdx.acsitefactory.com,done ,5,,
transportationlabt.pdx.acsitefactory.com,done,5,,
transportationresearch.pdx.acsitefactory.com,done,5,,
tribalgovernment.pdx.acsitefactory.com,done,5,,
trioprecollege.pdx.acsitefactory.com,done,5,,
triostudentsupportservices.pdx.acsitefactory.com,done ,5,,
vietnamoregoninitiative.pdx.acsitefactory.com,done ,5,,
womensleadershipcenter.pdx.acsitefactory.com,done,5,,
youthmentoring.pdx.acsitefactory.com,done,5,,
ondeck.pdx.acsitefactory.com,,-,,
ondeck.pdx.edu,,-,,
pdx-preprod.prometdev.com,,-,,
